,actor_1,actor_2,actor_3,director,rating,stars_out_of_10,title,writer,year
0,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Gil Junger,"           PG-13
    | 
          ",7.3,10 Things I Hate About You,Karen McCullah,1999
1,Chris Hemsworth,Michael Shannon,Michael Peña,Nicolai Fuglsig,"           R
    | 
            ",6.6,12 Strong,Ted Tally,2018
2,Conor Donovan,Jesse Camacho,Zoe Weizenbaum,Michael Cuesta,        ,7.6,12 and Holding,Anthony Cipriano,2005
3,Bruce Willis,Madeleine Stowe,Brad Pitt,Terry Gilliam,"           R
    | 
             ",8.0,Twelve Monkeys,Chris Marker,1995
4,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Steve McQueen,"           R
    | 
               ",8.1,12 Years a Slave,John Ridley,2013
5,James Franco,Amber Tamblyn,Kate Mara,Danny Boyle,"           R
    | 
                 ",7.6,127 Hours,Danny Boyle,2010
6,Gérard Depardieu,Armand Assante,Sigourney Weaver,Ridley Scott,"           PG-13
    | 
                ",6.5,1492: Conquest of Paradise,Rose Bosch,1992
7,Robert De Niro,Edward Burns,Kelsey Grammer,John Herzfeld,"           R
    | 
 ",6.1,15 Minutes,John Herzfeld,2001
8,Zac Efron,Matthew Perry,Leslie Mann,Burr Steers,"           PG-13
    | 
          ",6.4,17 Again,Jason Filardi,2009
9,Samuel L. Jackson,John Heard,Kelly Rowan,Kevin Reynolds,"           R
    | ",6.7,One Eight Seven,Scott Yagemann,1997
10,Keir Dullea,Gary Lockwood,William Sylvester,Stanley Kubrick,"           G
    | ",8.3,2001: A Space Odyssey,Stanley Kubrick,1968
11,John Cusack,Thandie Newton,Chiwetel Ejiofor,Roland Emmerich,"           PG-13
    | 
                ",5.8,2012,Roland Emmerich,2009
12,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Spike Lee,         ,7.7,25th Hour,David Benioff,2002
13,Jesse Eisenberg,Danny McBride,Nick Swardson,Ruben Fleischer,"           R
    | 
          ",6.1,30 Minutes or Less,Michael Diliberti,2011
