,budget,genres,revenue,runtime,title
0,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",53478166,97.0,10 Things I Hate About You
1,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",62928960,130.0,12 Strong
2,400000,"[{'id': 18, 'name': 'Drama'}]",95687,90.0,12 and Holding
3,29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",168840000,129.0,Twelve Monkeys
4,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",187000000,134.0,12 Years a Slave
5,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",35692920,94.0,127 Hours
6,47000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",7191399,154.0,1492: Conquest of Paradise
7,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",56359980,120.0,15 Minutes
8,20000000,"[{'id': 35, 'name': 'Comedy'}]",136267476,102.0,17 Again
9,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5716080,119.0,One Eight Seven
10,10500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",68700000,149.0,2001: A Space Odyssey
11,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",769653595,158.0,2012
12,15000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13060843,135.0,25th Hour
13,28000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",40547440,83.0,30 Minutes or Less
14,40000000,"[{'id': 18, 'name': 'Drama'}]",95020213,128.0,42
15,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0,95.0,44 Inch Chest
16,12000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",78868508,96.0,48 Hrs.
17,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",39187783,100.0,50/50
18,7500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",60722734,95.0,(500) Days of Summer
19,41000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",242875078,110.0,8 Mile
20,40000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",96618699,123.0,8MM
21,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",48428063,79.0,9
22,40000000,"[{'id': 18, 'name': 'Drama'}]",243240178,138.0,A Few Good Men
23,20000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",12007070,125.0,A Most Violent Year
24,8700000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",7659918,100.0,A Scanner Darkly
25,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",31430334,105.0,A Serious Man
26,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",235926552,146.0,A.I. Artificial Intelligence
27,7500000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",18869631,99.0,Above the Law
28,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",50068310,121.0,Absolute Power
29,70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",90000098,139.0,The Abyss
30,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",107217396,86.0,Ace Ventura: Pet Detective
31,19000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",32801173,115.0,Adaptation.
32,30000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",191502426,99.0,The Addams Family
33,50200000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",127869379,106.0,The Adjustment Bureau
34,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",0,103.0,The Adventures of Buckaroo Banzai Across the 8th Dimension
35,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6330054,114.0,Affliction
36,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",0,78.0,After School Special
37,4500000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3606395,104.0,After.Life
38,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",0,98.0,Agnes of God
39,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",315268353,124.0,Air Force One
40,3500000,"[{'id': 35, 'name': 'Comedy'}]",83453539,88.0,Airplane!
41,0,"[{'id': 35, 'name': 'Comedy'}]",27150534,85.0,Airplane II: The Sequel
42,28000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",504050219,90.0,Aladdin
43,107000000,"[{'id': 18, 'name': 'Drama'}]",87713825,165.0,Ali
44,11000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",104931801,117.0,Alien
45,50000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",159773545,114.0,Alien³
46,16000000,"[{'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",32155047,91.0,Alien Nation
47,70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",171183863,101.0,AVP: Alien vs. Predator
48,70000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",162000000,109.0,Alien Resurrection
49,18500000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",183316455,137.0,Aliens
50,1400000,"[{'id': 18, 'name': 'Drama'}]",63463,139.0,All About Eve
51,15000000,"[{'id': 35, 'name': 'Comedy'}]",40105542,99.0,All About Steve
52,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9450897,125.0,All the King's Men
53,8500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",70600000,138.0,All the President's Men
54,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",47383689,122.0,Almost Famous
55,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",10442808,96.0,Alone in the Dark
56,18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",51973029,160.0,Amadeus
57,40000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",19258519,111.0,Amelia
58,15000000,"[{'id': 18, 'name': 'Drama'}]",356296601,122.0,American Beauty
59,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",266465037,157.0,American Gangster
60,777000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",140000000,110.0,American Graffiti
61,20000000,"[{'id': 18, 'name': 'Drama'}]",23875127,119.0,American History X
62,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",251171807,138.0,American Hustle
63,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0,73.0,American Madness
64,0,[],0,90.0,American Milkshake
65,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",13678913,94.0,American Outlaws
66,11000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",235483004,95.0,American Pie
67,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",107879496,106.0,The American President
68,7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",34266564,102.0,American Psycho
69,58800000,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",542307423,133.0,American Sniper
70,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6003587,101.0,American Splendor
71,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",31973249,97.0,An American Werewolf in London
